segment_id,security_id,ts_s,avg_spread_bps,min_spread_bps,max_spread_bps,avg_spread_abs,avg_imbalance,avg_microprice,total_bid_size,total_ask_size,avg_bid_size,avg_ask_size,total_updates,total_cancels,min_bid,max_ask,avg_bid,avg_ask,num_1s_intervals
48,2788279,1606809697.0,35.03299180418647,35.03299180418647,35.03299180418647,0.9473999999999592,0.0,270.29053333333337,5.0,5.0,5.0,5.0,2.0,0.0,269.9571,270.9045,269.9571,270.9045,1
48,2788279,1606809701.0,35.03117100471893,35.03117100471893,35.03117100471893,0.9463000000000079,0.0,270.1988666666666,5.0,5.0,5.0,5.0,,,269.6577,270.604,269.6577,270.604,1
48,2788279,1606809778.0,35.03023522203771,35.03023522203771,35.03023522203771,0.9468000000000529,0.0,270.1585666666667,5.0,5.0,5.0,5.0,,,269.8074,270.7542,269.8074,270.7542,1
48,2788279,1606809810.0,29.47909829729691,29.47909829729691,29.47909829729691,0.796100000000024,0.0,270.18218333333334,5.0,5.0,5.0,5.0,,,269.6577,270.4538,269.6577,270.4538,1
48,2788279,1606809816.0,35.03205604981153,35.03205604981153,35.03205604981153,0.9479000000000042,0.0,270.10721666666666,5.0,5.0,5.0,5.0,,,270.1068,271.0547,270.1068,271.0547,1
48,2788279,1606809824.0,35.99717902082405,35.99717902082405,35.99717902082405,0.9698000000000206,0.0,269.72525,5.0,5.0,5.0,5.0,,,268.9251,269.8949,268.9251,269.8949,1
48,2788279,1606809832.0,35.03309981647701,35.03309981647701,35.03309981647701,0.9431999999999903,0.0,269.64063333333337,5.0,5.0,5.0,5.0,,,268.7595,269.7027,268.7595,269.7027,1
48,2788279,1606809886.0,35.03112133200972,35.03112133200972,35.03112133200972,0.9483999999999924,0.0,269.9405166666666,5.0,5.0,5.0,5.0,,,270.2565,271.2049,270.2565,271.2049,1
48,2788279,1606809902.0,35.03028300664217,35.03028300664217,35.03028300664217,0.9447000000000116,0.0,270.0238833333333,5.0,5.0,5.0,5.0,,,269.2086,270.1533,269.2086,270.1533,1
48,2788279,1606809913.0,35.03299180418647,35.03299180418647,35.03299180418647,0.9473999999999592,0.0,269.90858333333335,5.0,5.0,5.0,5.0,,,269.9571,270.9045,269.9571,270.9045,1
