segment_id,security_id,total_updates,avg_spread_bps,median_spread_bps,avg_imbalance,avg_total_depth_l1,updates_per_sec
589,5035771,2266977.0,7.527634986186704,5.9810848192590935,0.0026749150824710655,6.9107740242702524,30.350188770182346
589,5336359,596743.0,1.4765972835556362,1.121432443040577,0.1110641191818086,4.52755905511811,7.989169143438563
589,5594748,437362.0,2.761324120837243,2.6138421612740617,0.03101864541237375,3.514854147062777,5.855383297185852
688,12,59915.0,14.400290968066832,13.545546901456659,0.01840490793840024,244.41513292433538,0.8021716137151732
688,13,59494.0,-355.23641052344806,1.6887612935912153,-0.05560298334324804,766.0478278522128,0.7965350577713513
688,14,58434.0,2392.126729939922,-10.139131414409217,0.11444140845723731,3265.5469039375153,0.7823432542073342
688,11,58177.0,-2.5868292590539683,12.963223897420868,0.043781702034924576,233.75532714966158,0.7789024112677565
688,15,57168.0,-829.6428442190463,-12.394366197184636,-0.033336061952818845,842.7618517340121,0.7653934208940836
688,10,54748.0,1940.6076696546063,16.88048615800199,0.1419902917004605,2725.3050964783247,0.7329932655875541
688,16,54479.0,26.128303562695283,-14.084110306751922,0.060009277950291,257.1263644331129,0.7293917607208366
688,17,51007.0,24.182906400710557,-12.959571770671348,0.0955632391092556,299.73561711194884,0.6829069098017164
688,9,50055.0,-6.527704015660555,17.45348084339736,0.10990766386938802,240.2214777092826,0.6701610635819577
821,1,48301.0,2511.8689859414126,434.2857142857156,0.11225951903086383,56.85673207036536,0.9634572038377914
688,18,47198.0,-3661.7752327238118,-18.599408200648863,-0.023563771162804288,363.7034332242088,0.6319101364287532
688,8,46659.0,39.32388429285621,25.330708070589118,0.11761900205068226,533.1148959675935,0.6246937382013897
688,7,44686.0,-1520.7011360901822,28.72996648170686,0.04966849569983774,1118.084598088814,0.5982782396808183
688,19,42829.0,3514.6568374572657,128.24150258185435,0.33727833219318093,4851.475499092559,0.5734158064559318
688,6,42708.0,-1801.3709871036262,50.14225752838031,0.09641307587881943,1251.3075532724506,0.5717957986906053
688,5,41335.0,-10202.314073696161,-132.6756251063108,-0.43416805801424957,5588.8195112564945,0.5534133965270247
688,4,39935.0,-9812.870825739854,-120.79280914169027,-0.38048457881263853,4904.273955418315,0.5346695050273794
